"","x"
"annual_inc",1.846
"dti",3.242
"earliest_cr_line",3.197
"emp_length",1.983
"fico_range_high",4.859
"fico_range_low",4.18
"grade",6.48
"inq_last_6mths",3.749
"installment",6.293
"int_rate",3.61
"issue_d",18.245
"loan_amnt",4.385
"mo_sin_rcnt_tl",1.693
"mort_acc",5.649
"mths_since_recent_bc",3.521
"tax_liens",1.308
"sub_grade",8.337
"pub_rec_bankruptcies",1.124
"percent_bc_gt_75",3.404
"num_bc_tl",2.511
"num_actv_rev_tl",3.794
"num_actv_bc_tl",0.516
"num_accts_ever_120_pd",1.239
"acc_now_delinq",0.21
"acc_open_past_24mths",6.226
"open_acc",0.281
"pct_tl_nvr_dlq",2.081
"pub_rec",1.248
"total_acc",4.079
"total_bal_ex_mort",1.904
"term_.60.months",6.134
"home_ownership_OTHER",1.758
"home_ownership_OWN",1.22
"home_ownership_RENT",4.369
"verification_status_Not.Verified",1.723
"verification_status_Verified",2.04
"purpose_car",2.157
"purpose_credit_card",0.627
"purpose_home_improvement",2.369
"purpose_house",0.354
"purpose_major_purchase",2.225
"purpose_medical",1.555
"purpose_moving",0.689
"purpose_other",1.372
"purpose_renewable_energy",0.258
"purpose_small_business",1.75
"purpose_vacation",1.313
"purpose_wedding",0.55
"application_type_Joint.App",2.88
"disbursement_method_DirectPay",0.55
